V,I,G,P,fault_type
140.52731,9.87497,844.13732,1387.7029704307,1
137.50947,9.88139,843.95592,1358.7847017633,1
137.98063,9.87544,844.15137,1362.6194327272,1
138.83023,9.90712,844.19842,1375.4077482376,1
138.30496,9.92389,844.16563,1372.5232094944,1
139.15887,9.87862,844.03321,1374.6975963594,1
140.80969,9.82015,844.15712,1382.7722772535,1
140.70826,9.86154,844.11028,1387.6001343204,1
136.16445,10.02088,843.51031,1364.487613716,1
138.20237,9.97054,843.56333,1377.9522581798,1
139.86878,9.94755,843.43196,1391.351682489,1
137.3597,9.97902,843.51798,1370.715193494,1
138.02097,10.00253,843.59548,1380.5588930541,1
137.97921,9.95403,843.61166,1373.4491957163,1
139.37332,9.93657,843.54587,1384.8927503124,1
137.36076,9.9482,843.48327,1366.492312632,1
136.64427,9.98376,843.17967,1364.2235970552,1
138.22818,9.95132,843.38065,1375.5528521976,1
135.42008,9.95149,843.70831,1347.6315719192,1
138.13146,9.96555,843.42749,1376.555971203,1
133.74147,9.94724,843.15647,1330.3585000428,1
140.61574,9.94742,843.49051,1398.7638243908,1
136.47532,9.94143,843.36085,1356.7598405076,1
137.86923,9.98213,843.39322,1376.2285768599,1
136.34838,9.96174,843.16456,1358.2671109812,1
135.12783,9.96819,843.11963,1346.9798837277,1
137.13563,9.99635,843.32722,1370.8557549505,1
137.93614,9.9577,843.43899,1373.526701278,1
137.13234,9.90303,842.48475,1358.0256769902,1
138.72587,9.84932,842.86692,1366.3554859084,1
138.58197,9.84718,842.93015,1364.6416033446,1
141.03593,9.86722,842.71959,1391.6325492146,1
139.2686,9.88047,842.84605,1376.039224242,1
139.72772,9.86112,842.87671,1377.8718142464,1
137.37058,9.87145,843.13177,1356.046811941,1
138.97716,9.9155,842.79048,1378.02802998,1
138.82664,9.87761,842.82263,1371.2754075304,1
139.8126,9.84314,842.92461,1376.194995564,1
138.58344,9.9098,842.97358,1373.334173712,1
138.72809,9.88947,843.01616,1371.9472842123,1
139.78936,9.86436,842.94974,1378.9325712096,1
139.64962,9.86952,843.00105,1378.2747175824,1
137.05379,9.86898,842.87373,1352.5811124342,1
140.80959,9.87019,843.16179,1389.8174071221,1
137.24668,9.87952,843.03085,1355.9313199936,1
136.4158,9.86542,842.77153,1345.799161636,1
139.79093,9.86108,843.2444,1378.4895440044,1
138.54052,9.88548,843.14752,1369.5395396496,1
140.18167,9.87337,843.2246,1384.0654951279,1
142.02761,9.85684,843.14752,1399.9434273524,1
136.09192,9.87328,842.96634,1343.6736318976,1
137.81517,9.89398,842.86755,1363.5405356766,1
141.35176,9.87691,843.33999,1396.1186118616,1
138.065,9.87317,843.45687,1363.13921605,1
142.42639,9.87762,843.19564,1406.8337583918,1
139.33931,9.88237,843.19969,1377.0026169647,1
138.34981,9.85519,843.28123,1363.4636640139,1
140.33215,9.84956,843.24503,1382.209931354,1
138.92984,9.85162,842.82774,1368.6839903408,1
139.07318,9.90534,842.61633,1377.5671327812,1
139.0376,9.90387,842.73683,1377.010315512,1
138.72556,9.8676,842.82072,1368.888335856,1
141.28222,9.87185,842.79751,1394.716883507,1
137.85501,9.88138,842.79389,1362.1977387138,1
139.93463,9.85933,842.79708,1379.6616955979,1
142.42381,9.86332,842.58609,1404.7716136492,1
141.30535,9.85142,842.62612,1392.058351097,1
138.4891,9.87494,842.87543,1367.571553154,1
137.72629,9.89978,843.32636,1363.4599712162,1
140.3326,9.82291,842.99338,1378.474499866,1
138.94497,9.84003,843.13688,1367.2226731491,1
136.40036,9.89764,843.096,1350.0416591504,1
138.74687,9.92966,843.33488,1377.7092451642,1
139.44089,9.89508,843.15072,1379.7787618212,1
138.24752,9.85078,843.00637,1361.8459050656,1
139.30312,9.87285,843.06172,1375.318808292,1
136.95368,9.92083,843.24333,1358.6941771544,1
138.86333,9.88459,843.04214,1372.6070830847,1
142.23654,9.88314,843.11899,1405.7436379356,1
141.06989,9.90564,842.96443,1397.3875451796,1
136.85918,9.91894,843.28549,1357.4979948692,1
139.74776,9.86338,843.17371,1378.3852610288,1
140.8481,9.87366,842.93781,1390.686251046,1
138.50919,9.87152,842.99572,1367.2962392688,1
139.58873,9.87994,843.01446,1379.1282770762,1
139.97269,9.89795,842.92334,1385.4426869855,1
138.26781,9.88907,842.9227,1367.3400518367,1
139.22689,9.85377,842.80815,1371.9097518753,1
139.88163,9.77444,843.16477,1367.2645995372,1
138.29373,9.76041,843.40301,1349.8035052293,1
142.43282,9.79336,843.50669,1394.8958820752,1
136.20317,9.78877,843.0119,1333.2615044009,1
138.69894,9.76398,842.91333,1354.2536761812,1
138.39333,9.77249,843.1603,1352.4474334917,1
138.9555,9.80788,843.15838,1362.85886934,1
140.74232,9.77851,843.06364,1376.2501835432,1
138.151,9.7949,843.15221,1353.1752299,1
140.98896,9.78021,842.90226,1378.9016364816,1
142.27891,9.76236,842.62442,1388.9779398276,1
139.96226,9.7695,842.52457,1367.36129907,1
138.86121,9.80387,842.54351,1361.3772508827,1
139.636,9.82359,842.82668,1371.72681324,1
141.35105,9.76396,842.94952,1380.145998158,1
140.87316,9.71745,842.33295,1368.927888642,1
140.36545,9.81828,842.59823,1378.147290426,1
137.35125,9.83381,842.79751,1350.6860957625,1
143.13433,9.77392,842.43472,1398.9834906736,1
139.81143,9.76074,842.61271,1364.6630172582,1
140.60779,9.80612,842.48795,1378.8168616748,1
140.58324,9.79691,842.52158,1377.2813497884,1
140.30542,9.7749,842.70788,1371.471449958,1
140.20435,9.78911,842.57737,1372.4758046285,1
141.79833,9.81826,842.69255,1392.2128715058,1
141.91783,9.79093,842.73364,1389.5075392819,1
139.00035,9.77883,842.86798,1359.2607925905,1
142.57287,9.76716,842.47389,1392.5320329492,1
141.78982,9.76226,842.42088,1384.1890881932,1
139.38587,9.80375,842.57055,1366.5042230125,1
140.32496,9.77375,843.04086,1371.5010778,1
139.60457,9.79598,843.41685,1367.5635756286,1
137.36157,9.82524,843.07939,1349.6103920268,1
142.78844,9.76163,842.78601,1393.8479195572,1
139.79119,9.72919,843.17861,1360.0550478361,1
140.47311,9.79667,843.07343,1376.1687025437,1
140.82361,9.83125,842.92078,1384.4721158125,1
142.51871,9.78994,843.05427,1395.2496197774,1
138.28234,9.77335,843.03681,1351.481707639,1
139.34923,9.79481,843.30614,1364.8992314963,1
138.70112,9.83649,842.95293,1364.3321798688,1
138.37987,9.81168,842.91312,1357.7390028816,1
138.40791,9.76027,843.19053,1350.8985717357,1
140.6787,9.77471,843.25525,1375.093495677,1
134.74453,9.79632,842.74705,1320.0005341296,1
138.7411,9.77463,842.93781,1356.142918293,1
140.32805,9.76277,843.18691,1369.9904766985,1
138.07968,9.7735,842.86819,1349.52175248,1
139.14981,9.82424,842.98103,1367.0411293944,1
138.22494,9.80747,842.99913,1355.6369523018,1
