V,I,G,P,no_module_fault,fault,partial_shading
139.54136,9.92397,854.15128,1384.8042703992,0,0,0
139.16833,9.96688,854.33502,1387.0740449104,0,0,0
140.67814,9.95495,854.11232,1400.443849793,0,0,0
139.55173,9.91861,853.88472,1384.1591846953,0,0,0
141.31289,9.95947,854.25135,1407.4014885683,0,0,0
139.16029,9.93916,854.07826,1383.1363879564,0,0,0
136.38498,9.96751,854.1896,1359.4186519998,0,0,0
138.62312,9.96388,854.16448,1381.2241329056,0,0,0
139.38258,9.9193,854.11849,1382.577625794,0,0,0
139.94232,9.96027,853.99011,1393.8632916264,0,0,0
139.59744,9.98594,854.06548,1394.0116599936,0,0,0
140.12144,9.93743,854.09422,1392.4470014992,0,0,0
139.30195,9.95342,854.11338,1386.530815169,0,0,0
139.9077,9.98429,854.05909,1396.879050033,0,0,0
139.59541,9.98487,853.8926,1393.8420214467,0,0,0
139.42985,9.95414,854.06846,1387.904247079,0,0,0
139.19334,9.96386,853.89026,1386.9029526924,0,0,0
136.98242,10.00472,853.88622,1370.4707570224,0,0,0
140.00331,9.96067,853.75656,1394.5267698177,0,0,0
143.18499,9.94722,853.62392,1424.2925962278,0,0,0
139.82646,9.95145,853.62711,1391.476025367,0,0,0
138.316,9.92829,853.97244,1373.24135964,0,0,0
135.08339,9.97009,853.79083,1346.7935558051,0,0,0
140.85367,10.00361,853.74761,1409.0451817487,0,0,0
136.14628,9.95249,853.89303,1354.9944902372,0,0,0
138.52554,9.97175,854.23793,1381.342053495,0,0,0
140.18613,9.9427,854.23815,1393.828634751,0,0,0
140.89679,9.9552,853.84278,1402.655723808,0,0,0
133.04912,9.97744,853.95775,1327.4896118528,0,0,0
139.82611,9.9569,854.17768,1392.234594659,0,0,0
143.22128,9.96466,854.04824,1427.1513599648,0,0,0
139.24172,9.99128,854.07783,1391.2030122016,0,0,0
138.61538,9.96789,854.13936,1381.7028601482,0,0,0
138.79835,9.97297,854.04355,1384.2317805995,0,0,0
139.13169,9.94567,853.29988,1383.7578752823,0,0,0
141.85365,9.92812,853.19683,1408.340059638,0,0,0
140.88925,9.95638,853.35757,1402.746910915,0,0,0
138.65946,9.93955,853.38248,1378.212635643,0,0,0
139.41918,9.93779,853.0825,1385.5185328122,0,0,0
139.01204,9.93397,853.12891,1380.9414349988,0,0,0
138.29611,9.93738,853.29242,1374.3009975918,0,0,0
138.68112,9.95402,853.43571,1380.4346421024,0,0,0
135.55906,9.96291,853.34395,1350.5627144646,0,0,0
139.38081,9.9358,853.17022,1384.859851998,0,0,0
137.2323,10.05704,854.10977,1380.150730392,0,0,0
133.2574,10.03514,853.88728,1337.256665036,0,0,0
138.30744,10.04521,853.95647,1389.3272793624,0,0,0
137.67821,10.03123,854.57241,1381.0817904983,0,0,0
141.22675,10.05756,854.15149,1420.39651173,0,0,0
137.42246,10.05464,854.13978,1381.7333632144,0,0,0
138.80513,10.029,854.11764,1392.07664877,0,0,0
137.98701,10.00375,854.17513,1380.3875512875,0,0,0
135.78905,10.08857,854.17385,1369.9173361585,0,0,0
139.82191,10.06999,854.51684,1408.0052354809,0,0,0
138.87988,10.01182,853.99842,1390.4403601816,0,0,0
138.55909,10.01493,854.12446,1387.6595872137,0,0,0
137.60138,10.05831,853.89643,1384.0373364678,0,0,0
138.24149,10.02553,853.72547,1385.9442052397,0,0,0
141.3013,10.01311,854.01715,1414.865460043,0,0,0
138.25814,10.04511,854.21899,1388.8182246954,0,0,0
135.02251,10.05289,854.06931,1357.3664405539,0,0,0
137.00783,10.05349,853.86578,1377.4068488267,0,0,0
134.25874,10.05016,853.87557,1349.3218183984,0,0,0
139.57724,10.04332,853.92496,1401.8188860368,0,0,0
137.77949,10.05855,854.21473,1385.8618891395,0,0,0
138.15752,10.05295,854.19024,1388.890640684,0,0,0
136.54077,10.01204,854.51705,1367.0516508708,0,0,0
138.31463,10.0244,854.3116,1386.521176972,0,0,0
137.25958,10.04614,854.48767,1378.9289570212,0,0,0
137.55689,10.04868,854.56155,1382.2651694052,0,0,0
137.27507,10.06225,854.42678,1381.2960731075,0,0,0
138.60611,10.05699,854.30904,1393.9602622089,0,0,0
136.44627,10.05352,854.38015,1371.7653043704,0,0,0
136.9966,10.06894,854.42231,1379.410545604,0,0,0
136.65465,10.05863,854.01651,1374.5585621295,0,0,0
138.20697,10.02538,854.15447,1385.5773928986,0,0,0
138.79086,10.02743,853.88941,1391.7156332898,0,0,0
138.28639,10.07669,854.0872,1393.4690832491,0,0,0
138.48525,10.03205,854.00821,1389.2909522625,0,0,0
135.1293,10.01479,854.12999,1353.291562347,0,0,0
135.29147,10.0563,854.22303,1360.531609761,0,0,0
139.53336,10.07592,854.31011,1405.9269726912,0,0,0
136.82775,10.02672,853.89516,1371.93353748,0,0,0
139.81492,9.99151,854.36099,1396.9621713292,0,0,0
136.47041,10.01164,853.70461,1366.2926155724,0,0,0
136.51921,10.04445,853.83299,1371.2603788845,0,0,0
137.85,10.03482,853.81574,1383.299937,0,0,0
137.56772,10.06727,853.52023,1384.9313805244,0,0,0
138.11526,10.06813,853.65181,1390.5623926638,0,0,0
137.39741,10.06554,853.80893,1382.9791262514,0,0,0
138.13698,10.04278,853.95562,1387.2793000044,0,0,0
137.08345,10.0435,853.71972,1376.797630075,0,0,0
138.77162,10.04348,853.91602,1393.7499900376,0,0,0
138.53343,10.0304,853.74804,1389.545716272,0,0,0
137.47889,9.96909,853.62988,1370.5394275101,0,0,0
137.83441,9.94814,853.67246,1371.1960074974,0,0,0
139.46432,9.90851,853.655,1381.8836093632,0,0,0
140.47311,9.96049,853.93859,1399.1810074239,0,0,0
140.03499,9.97959,853.62775,1397.4917858541,0,0,0
138.10929,9.98628,853.63307,1379.1980405412,0,0,0
139.44312,9.93789,853.59454,1385.7703878168,0,0,0
139.95715,9.93677,853.72781,1390.7220094055,0,0,0
138.78043,9.9719,853.54791,1383.904569917,0,0,0
134.46828,9.97121,853.76081,1340.8114582188,0,0,0
140.23664,9.9624,854.03163,1397.093502336,0,0,0
141.66623,9.94578,854.2077,1408.9811570094,0,0,0
140.85939,9.94014,854.16469,1400.1620569146,0,0,0
139.95943,9.96238,854.20153,1394.3290262434,0,0,0
136.37572,9.99461,854.2143,1363.0221348692,0,0,0
138.55282,9.94247,853.88345,1377.5572562654,0,0,0
139.00956,9.9104,854.13936,1377.640343424,0,0,0
140.40873,9.94636,854.39357,1396.5557757228,0,0,0
138.86202,9.97171,854.39144,1384.6917934542,0,0,0
139.09003,9.95312,854.1219,1384.3797593936,0,0,0
140.70051,9.95299,853.73207,1400.3907690249,0,0,0
137.18711,9.95872,854.24581,1366.2080160992,0,0,0
140.75852,9.96342,854.11913,1402.4362533384,0,0,0
138.87999,9.92431,853.83725,1378.2880735569,0,0,0
139.57476,9.93983,854.02354,1387.3493866908,0,0,0
138.09891,9.97941,853.94391,1378.1456434431,0,0,0
137.90547,10.00895,854.0163,1380.2889539565,0,0,0
135.08547,9.95258,853.83874,1344.4489470126,0,0,0
139.00693,9.90747,853.92177,1377.2069887671,0,0,0
139.25519,9.9958,853.91964,1391.967028202,0,0,0
142.75199,9.88795,854.26561,1411.5245395205,0,0,0
139.04089,9.8577,854.3018,1370.623381353,0,0,0
142.2746,9.80358,854.13318,1394.800423068,0,0,0
139.15993,9.85523,854.00672,1371.4531169339,0,0,0
141.31567,9.84198,854.13446,1390.8259978266,0,0,0
136.75815,9.85113,854.26135,1347.2223142095,0,0,0
139.46913,9.87818,854.02886,1377.7011705834,0,0,0
138.78362,9.85322,854.5377,1367.4655402564,0,0,0
139.17375,9.86336,854.0542,1372.7207988,0,0,0
141.04231,9.88376,854.0972,1394.0283418856,0,0,0
135.85272,9.96707,853.77401,1354.0535699304,0,0,0
142.22814,9.93915,854.05633,1413.626817681,0,0,0
139.30104,9.89927,854.0344,1378.9786062408,0,0,0
137.8835,9.94371,853.87408,1371.073537785,0,0,0
137.3596,9.97998,854.06655,1370.846060808,0,0,0
138.50028,9.94972,854.00353,1378.0390059216,0,0,0
140.39066,9.94199,853.90176,1395.7625378134,0,0,0
139.04529,9.92046,853.82788,1379.3932376334,0,0,0
138.96021,9.95649,854.05973,1383.5559412629,0,0,0
142.61164,9.96627,853.85854,1421.3061093828,0,0,0
137.23256,9.97704,853.89537,1369.1747404224,0,0,0
140.32162,9.96323,854.19173,1398.0565740326,0,0,0
141.35389,9.92268,853.97819,1402.6094172252,0,0,0
141.07227,9.91332,854.14596,1398.4945556364,0,0,0
138.88596,9.96785,854.2209,1384.394416386,0,0,0
139.97385,9.97742,854.19408,1396.577890467,0,0,0
141.00521,9.90852,853.75017,1397.1529433892,0,0,0
142.13719,9.90422,853.93305,1407.7579999418,0,0,0
135.83739,9.96403,854.21217,1353.4878290817,0,0,0
137.86624,9.9853,854.00012,1376.635766272,0,0,0
141.99076,10.03008,853.33692,1424.1786820608,0,0,0
136.69549,9.98446,853.56686,1364.8306520854,0,0,0
137.73323,10.06647,853.49915,1386.4874277981,0,0,0
138.45675,10.0804,853.44784,1395.6994227,0,0,0
140.70183,10.02364,853.29285,1410.3444912612,0,0,0
140.09806,10.00911,853.49915,1402.2568933266,0,0,0
138.09922,10.06674,853.40995,1390.2089419428,0,0,0
137.46614,10.08926,853.55728,1386.9316276564,0,0,0
137.71116,10.05345,853.33671,1384.472261502,0,0,0
137.71248,10.00803,853.45168,1378.2306312144,0,0,0
136.53601,10.00102,853.77636,1365.4993667302,0,0,0
140.17251,10.04053,854.04909,1407.4062918303,0,0,0
140.71818,10.06461,853.9586,1416.2736016098,0,0,0
136.5971,10.06179,854.23729,1374.411334809,0,0,0
137.25802,10.02448,854.06442,1375.9402763296,0,0,0
137.52652,10.03096,854.32075,1379.5230210592,0,0,0
136.0408,10.06522,854.00374,1369.280580976,0,0,0
138.25313,10.03613,854.06867,1387.5263855869,0,0,0
138.73113,9.99862,854.09955,1387.1198510406,0,0,0
135.52252,10.05274,854.07996,1362.3726577048,0,0,0
139.00197,10.02293,853.74314,1393.2070151721,0,0,0
139.27093,10.02984,853.80638,1396.8651445512,0,0,0
136.47102,10.06318,853.96201,1373.3324390436,0,0,0
137.79923,10.07527,853.73101,1388.3644480421,0,0,0
137.69132,10.04414,853.79999,1382.9908948648,0,0,0
135.73034,10.0443,853.66075,1363.316254062,0,0,0
137.18291,10.04044,853.94689,1377.3767768804,0,0,0
137.46371,10.00135,853.58176,1374.8226760085,0,0,0
138.5762,10.02796,853.96329,1389.636590552,0,0,0
138.11207,10.02963,853.90772,1385.2129606341,0,0,0
136.05568,9.91688,853.36843,1349.2478518784,0,0,0
140.11086,9.92207,853.57005,1390.1897606802,0,0,0
140.21882,9.95329,853.67842,1395.6385789178,0,0,0
140.33326,9.96128,853.59943,1397.8988961728,0,0,0
139.35404,9.92512,853.48148,1383.1055694848,0,0,0
138.07472,9.95925,853.6616,1375.12065516,0,0,0
141.20741,9.99012,853.47424,1410.6789707892,0,0,0
141.21936,9.94092,853.42762,1403.8503602112,0,0,0
140.87058,9.94182,853.54663,1400.5099496556,0,0,0
138.44041,9.96268,853.65436,1379.2375038988,0,0,0
140.85084,9.86771,853.58389,1389.8752423764,0,0,0
139.7514,9.92375,853.46019,1386.85795575,0,0,0
139.99364,9.86705,853.39717,1381.324245562,0,0,0
138.05149,9.84554,853.49021,1359.1914668546,0,0,0
139.39372,9.88897,853.48446,1378.4603152684,0,0,0
140.45797,9.86289,853.52917,1385.3215077333,0,0,0
141.22867,9.81632,853.44508,1386.3458178944,0,0,0
140.66397,9.87524,853.26709,1389.0904631028,0,0,0
141.81685,9.88721,853.63392,1402.1729774885,0,0,0
140.62348,9.82553,853.69886,1381.7002214444,0,0,0
139.61227,9.86119,853.17426,1376.7431208013,0,0,0
141.50968,9.86676,853.18853,1396.2420502368,0,0,0
143.79712,9.83807,853.13381,1414.6861323584,0,0,0
143.7339,9.86862,853.20748,1418.455240218,0,0,0
140.75336,9.8976,853.04524,1393.120455936,0,0,0
139.22148,9.84907,853.39632,1371.2021020236,0,0,0
140.52038,9.82076,853.35715,1380.0169270888,0,0,0
138.31934,9.83487,853.10187,1360.3527273858,0,0,0
141.90887,9.87149,852.99436,1400.8519911163,0,0,0
140.03727,9.84504,853.05099,1378.6725246408,0,0,0
137.47889,9.94745,854.29755,1367.5643843305,0,0,0
137.65625,9.93116,854.0146,1367.08624375,0,0,0
140.15581,9.91832,854.16917,1390.1101734392,0,0,0
138.45038,9.97123,854.08102,1380.5205825674,0,0,0
138.51911,9.96782,854.22197,1380.7335550402,0,0,0
139.46554,9.93136,854.21111,1385.0824853344,0,0,0
138.74186,9.93785,854.10338,1378.795793401,0,0,0
139.87207,9.94393,854.1615,1390.8780730351,0,0,0
136.99558,9.93872,854.06548,1361.5607108576,0,0,0
139.87617,9.94145,854.03972,1390.5719502465,0,0,0
